Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Pop-up Alerts page/Search by title field""), ""TC-27"")",Chrome 122.0.0.0,,,29-02-2024 11:07:20,29-02-2024 11:07:22,"2,286s",PASSED
"verifyElementText(findTestObject(""Pop-up Alerts page/Filtered sent alert""), ""TC-27"")",Chrome 122.0.0.0,,,29-02-2024 11:07:22,29-02-2024 11:07:23,"0,306s",PASSED
delay(20),Chrome 122.0.0.0,,,29-02-2024 11:07:23,29-02-2024 11:07:23,"0,003s",NOT_RUN
"click(findTestObject(""Survey/3dots Actions""))",Chrome 122.0.0.0,,,29-02-2024 11:07:23,29-02-2024 11:07:23,"0,002s",NOT_RUN
"click(findTestObject(""Pop-up Alerts page/View graph""))",Chrome 122.0.0.0,,,29-02-2024 11:07:23,29-02-2024 11:07:23,"0,002s",NOT_RUN
delay(2),Chrome 122.0.0.0,,,29-02-2024 11:07:23,29-02-2024 11:07:23,"0,002s",NOT_RUN
takeFullPageScreenshot(),Chrome 122.0.0.0,,,29-02-2024 11:07:23,29-02-2024 11:07:23,"0,001s",NOT_RUN
"click(findTestObject(""Pop-up Alerts page/view graph 2nd page""))",Chrome 122.0.0.0,,,29-02-2024 11:07:23,29-02-2024 11:07:23,"0,001s",NOT_RUN
delay(2),Chrome 122.0.0.0,,,29-02-2024 11:07:23,29-02-2024 11:07:23,"0,002s",NOT_RUN
takeFullPageScreenshot(),Chrome 122.0.0.0,,,29-02-2024 11:07:23,29-02-2024 11:07:23,"0,002s",NOT_RUN
"click(findTestObject(""Pop-up Alerts page/view graph close btn""))",Chrome 122.0.0.0,,,29-02-2024 11:07:23,29-02-2024 11:07:23,"0,002s",NOT_RUN
,,,,,,,
Test Cases/Surveys-Quizz-Poll/Send Quizz with 1question and single choice(TC-28),Chrome 122.0.0.0,,,29-02-2024 11:07:25,29-02-2024 11:08:23,"58,063s",PASSED
"click(findTestObject(""Survey/New Survey btn""))",Chrome 122.0.0.0,,,29-02-2024 11:07:25,29-02-2024 11:07:25,"0,466s",PASSED
"check(findTestObject(""Survey/Quizz radio btn""))",Chrome 122.0.0.0,,,29-02-2024 11:07:25,29-02-2024 11:07:28,"2,567s",PASSED
"verifyElementChecked(findTestObject(""Survey/Quizz radio btn""), 1)",Chrome 122.0.0.0,,,29-02-2024 11:07:28,29-02-2024 11:07:29,"0,527s",PASSED
"click(findTestObject(""Survey/More btn""))",Chrome 122.0.0.0,,,29-02-2024 11:07:29,29-02-2024 11:07:29,"0,575s",PASSED
"callTestCase(findTestCase(""Built-in test cases/Choose recipients""), [:], STOP_ON_FAILURE)",Chrome 122.0.0.0,,,29-02-2024 11:07:29,29-02-2024 11:07:37,"7,952s",PASSED
"setText(findTestObject(""Create Pop-up Alert Page/Alert Title field""), ""TC-28"")",Chrome 122.0.0.0,,,29-02-2024 11:07:37,29-02-2024 11:07:38,"0,917s",PASSED
"setText(findTestObject(""Survey/Q1 input""), ""What kind of fish is Nemo?"")",Chrome 122.0.0.0,,,29-02-2024 11:07:38,29-02-2024 11:07:39,"1,136s",PASSED
"setText(findTestObject(""Survey/Q1 Answer 1 input field""), ""Just Fish"")",Chrome 122.0.0.0,,,29-02-2024 11:07:39,29-02-2024 11:07:40,"0,760s",PASSED
"setText(findTestObject(""Survey/Q1 answer 2 input field""), ""Clownfish"")",Chrome 122.0.0.0,,,29-02-2024 11:07:40,29-02-2024 11:07:41,"0,768s",PASSED
"click(findTestObject(""Survey/Mark as correct""))",Chrome 122.0.0.0,,,29-02-2024 11:07:41,29-02-2024 11:07:41,"0,350s",PASSED
"click(findTestObject(""Survey/Add question btn""))",Chrome 122.0.0.0,,,29-02-2024 11:07:41,29-02-2024 11:07:41,"0,330s",PASSED
"click(findTestObject(""Survey/Q2 delete btn""))",Chrome 122.0.0.0,,,29-02-2024 11:07:41,29-02-2024 11:07:42,"0,547s",PASSED
"verifyElementNotPresent(findTestObject(""Survey/Q2 delete btn""), 2)",Chrome 122.0.0.0,,,29-02-2024 11:07:42,29-02-2024 11:07:42,"0,508s",PASSED
"click(findTestObject(""Create Pop-up Alert Page/Alerts settings right-hand menu/Skin choice button""))",Chrome 122.0.0.0,,,29-02-2024 11:07:42,29-02-2024 11:07:43,"0,331s",PASSED
"click(findTestObject(""Create Pop-up Alert Page/Alerts settings right-hand menu/Skin with given index""))",Chrome 122.0.0.0,,,29-02-2024 11:07:43,29-02-2024 11:07:43,"0,570s",PASSED
"sendKeys(findTestObject(""Survey/alert width""), Keys.chord(CONTROL, ""a"", BACK_SPACE))",Chrome 122.0.0.0,,,29-02-2024 11:07:43,29-02-2024 11:07:44,"0,903s",PASSED
"setText(findTestObject(""Survey/alert width""), ""500"")",Chrome 122.0.0.0,,,29-02-2024 11:07:44,29-02-2024 11:07:45,"0,902s",PASSED
"sendKeys(findTestObject(""Survey/alert height""), Keys.chord(CONTROL, ""a"", BACK_SPACE))",Chrome 122.0.0.0,,,29-02-2024 11:07:45,29-02-2024 11:07:46,"0,565s",PASSED
"setText(findTestObject(""Survey/alert height""), ""600"")",Chrome 122.0.0.0,,,29-02-2024 11:07:46,29-02-2024 11:07:47,"0,874s",PASSED
"click(findTestObject(""Survey/Preview Survey btn""))",Chrome 122.0.0.0,,,29-02-2024 11:07:47,29-02-2024 11:07:47,"0,546s",PASSED
"switchToFrame(findTestObject(""Create Pop-up Alert Page/Preview alert iframe""), 2)",Chrome 122.0.0.0,,,29-02-2024 11:07:47,29-02-2024 11:07:48,"1,026s",PASSED
takeFullPageScreenshot(),Chrome 122.0.0.0,,,29-02-2024 11:07:48,29-02-2024 11:07:49,"0,460s",PASSED
